username,profile_url,content_type,followers_count,location,bio_summary,post_frequency,engagement_rate,verified
neilhartmann,https://www.instagram.com/neilhartmann/,Photography/Culture,12.2K,Japan,Photography and life experiences in Hokkaido,High,High,No
natag_kaminska_missgaijin,https://www.instagram.com/natag_kaminska_missgaijin/,Lifestyle/Culture,10.3K,Japan,Daily life and cultural experiences in Japan,High,High,No
gaijinchicago,https://www.instagram.com/gaijinchicago/,Food/Culture,15.7K,Japan,Japanese cuisine and restaurant experiences,High,High,No
gaijin_visuals,https://www.instagram.com/gaijin_visuals/,Photography/Automotive,26.1K,Japan,Automotive photography and videography in Japan,High,High,No
gaijinramen_lab,https://www.instagram.com/gaijinramen_lab/,Food/Culture,21K,Japan,Ramen and Japanese food culture experiences,High,High,No
gaijinmeeting,https://www.instagram.com/gaijinmeeting/,Community/Events,11.4K,Japan,Japan community events and meetups,High,High,No
tokyo_claudio,https://www.instagram.com/tokyo_claudio/,Lifestyle/Culture,34.5K,Japan,Life and cultural experiences in Tokyo,High,High,No
xamiliel,https://www.instagram.com/xamiliel/,Lifestyle/Travel,24.7K,Japan,Travel and lifestyle content in Japan,High,High,No
yohayejong,https://www.instagram.com/yohayejong/,Culture/Lifestyle,20.8K,Japan,Cultural insights and daily life in Japan,High,High,No
iam_jei,https://www.instagram.com/iam_jei/,Lifestyle/Fashion,16.1K,Japan,Fashion and lifestyle content in Japan,High,High,No
helenstettler,https://www.instagram.com/helenstettler/,Lifestyle/Culture,20.2K,Japan,Daily life and cultural experiences in Japan,High,High,No
angknst,https://www.instagram.com/angknst/,Lifestyle/Photography,13.1K,Japan,Photography and lifestyle content in Japan,High,High,No
aun_narudom,https://www.instagram.com/aun_narudom/,Culture/Lifestyle,12.5K,Japan,Cultural experiences and daily life in Japan,High,High,No
